Аль Капоне,1899 онд төрсөн,АНУ-ын түүх (1918–1945 он),1947 онд өнгөрсөн,Чикагогийн хүн,Хүн амины хэрэгтэн,Америкчууд,Яллагдсан хүн,Kategorie:Al Capone,Kategorie:Bandenführer,Kategorie:Geboren 1899,Kategorie:Geschichte der Vereinigten Staaten (1918–1945),Kategorie:Gestorben 1947,Kategorie:Mafioso (Vereinigte Staaten),Kategorie:Mann,Kategorie:Person (Chicago),Kategorie:Person (Mordfall),Kategorie:US-Amerikaner,Kategorie:Verurteilte Person
Америго Веспуччи,15-р зууны аялагч,Америкийн нээлт,1512 онд өнгөрсөн,Шинэ латин хэлээрх утга зохиол,Далайчин,Өмнөд Америк судлаач,Kategorie:Entdecker (15. Jahrhundert),Kategorie:Entdeckung Amerikas,Kategorie:Geboren 1451,Kategorie:Gestorben 1512,Kategorie:Literatur (Neulatein),Kategorie:Mann,Kategorie:Namensgeber für ein Schiff,Kategorie:Person (Republik Florenz),Kategorie:Seefahrer,Kategorie:Südamerikaforscher
Андрей Колмогоров,Балцаны шагналтан,1903 онд төрсөн,1987 онд өнгөрсөн,Зөвлөлтийн социалист хөдөлмөрийн баатар,Москвагийн Улсын Их Сургуулийн багш,Логик судлаач,20-р зууны математикч,20-р зууны математикийн логик судлаач,Францын Шинжлэх Ухааны Академийн гишүүн,Зүүн Германы Шинжлэх Ухааны Академийн гишүүн,АНУ-ын Урлаг ба Шинжлэх Ухааны Академийн гишүүн,АНУ-ын Гүн Ухааны Нийгэмлэгийн гишүүн,Нидерландын Ханы Шинжлэх Ухааны Академийн гишүүн,20-р зууны Леопольдинагийн гишүүн,АНУ-ын Үндэсний Шинжлэх Ухааны Академийн гишүүн,Оросын Шинжлэх Ухааны Академийн гишүүн,Зөвлөлтийн иргэн,Лениний одон шагналтан,Лениний нэрэмжит шагналтан,Хөдөлмөрийн Гавьяаны Улаан Тугийн одон шагналтан (ЗХУ),Төрийн шагналтан (ЗХУ),Сталиний нэрэмжит шагналтан,Kategorie:Balzan-Preisträger,Kategorie:Ehrenmitglied der London Mathematical Society,Kategorie:Geboren 1903,Kategorie:Gestorben 1987,Kategorie:Held der sozialistischen Arbeit,Kategorie:Hochschullehrer (Lomonossow-Universität),Kategorie:Logiker,Kategorie:Mann,Kategorie:Mathematiker (20. Jahrhundert),Kategorie:Mathematischer Logiker (20. Jahrhundert),Kategorie:Mitglied der Académie des sciences,Kategorie:Mitglied der Akademie der Wissenschaften der DDR,Kategorie:Mitglied der American Academy of Arts and Sciences,Kategorie:Mitglied der American Philosophical Society,Kategorie:Mitglied der Königlich Niederländischen Akademie der Wissenschaften,Kategorie:Mitglied der Leopoldina (20. Jahrhundert),Kategorie:Mitglied der National Academy of Sciences,Kategorie:Mitglied der Royal Statistical Society,Kategorie:Mitglied der Russischen Akademie der Wissenschaften,Kategorie:Person als Namensgeber für einen Asteroiden,Kategorie:Sowjetbürger,Kategorie:Statistiker (20. Jahrhundert),Kategorie:Stochastiker (20. Jahrhundert),Kategorie:Topologe (20. Jahrhundert),Kategorie:Träger des Leninordens,Kategorie:Träger des Leninpreises,Kategorie:Träger des Ordens des Roten Banners der Arbeit,Kategorie:Träger des Staatspreises der UdSSR,Kategorie:Träger des Stalinpreises
Антонио Страдивари,17-р зуунд төрсөн,1737 онд өнгөрсөн,Kategorie:Geboren im 17. Jahrhundert,Kategorie:Geigenbauer,Kategorie:Gestorben 1737,Kategorie:Gitarrenbauer,Kategorie:Historische Person (Italien),Kategorie:Mann
Аркадий Райкин,Кино найруулагч,1911 онд төрсөн,1987 онд өнгөрсөн,Зөвлөлтийн социалист хөдөлмөрийн баатар,Ригагийн хүн,Зөвлөлтийн иргэн,Театрын найруулагч,Лениний одон шагналтан,Лениний нэрэмжит шагналтан,Хөдөлмөрийн Гавьяаны Улаан Тугийн одон шагналтан (ЗХУ),Ардын Жүжигчин (ЗСБНХОУ),Ардын Жүжигчин (ЗХУ),Kategorie:Filmregisseur,Kategorie:Geboren 1911,Kategorie:Gestorben 1987,Kategorie:Held der sozialistischen Arbeit,Kategorie:Mann,Kategorie:Pantomime (Darsteller),Kategorie:Person (Riga),Kategorie:Sowjetbürger,Kategorie:Theaterregisseur,Kategorie:Träger des Leninordens,Kategorie:Träger des Leninpreises,Kategorie:Träger des Ordens des Roten Banners der Arbeit,Kategorie:Verdienter Künstler der RSFSR,Kategorie:Volkskünstler der RSFSR,Kategorie:Volkskünstler der UdSSR (Darstellende Kunst)
Асанга,Зохиогч,Буддын шашны утга зохиол,Буддын шашны лам,4-р зуунд төрсөн,Махаяна буддын шашны хүн,4-р зууны шашин,Kategorie:Autor,Kategorie:Buddhismus in Indien,Kategorie:Buddhistische Literatur,Kategorie:Buddhistischer Mönch,Kategorie:Geboren im 4. Jahrhundert,Kategorie:Gestorben im 4. oder 5. Jahrhundert,Kategorie:Literatur (4. Jahrhundert),Kategorie:Mann,Kategorie:Person des Mahayana-Buddhismus,Kategorie:Religion (4. Jahrhundert)
Ашока хаан,,Kategorie:Geboren 304 v. Chr.,Kategorie:Gestorben 232 v. Chr.,Kategorie:Indischer Frühbuddhist,Kategorie:König (Indisches Altertum),Kategorie:Mann,Kategorie:Person (Patna),Kategorie:Provinz Nakhon Pathom
Бабрак Кармаль,Афганчууд,1929 онд төрсөн,1996 онд өнгөрсөн,Kategorie:Afghane,Kategorie:Afghanischer Botschafter in der Tschechoslowakei,Kategorie:Geboren 1929,Kategorie:Gestorben 1996,Kategorie:Mann,Kategorie:Premierminister (Afghanistan),Kategorie:Präsident (Afghanistan)
Бернар Арно,Францчууд,1949 онд төрсөн,Их Британийн эзэнт гүрэн одонгийн өргөмжит хүлэг баатрын командлагч шагналтан,Хөрөнгө оруулагч,Хүндэт легионы гишүүн (их офицер),Францын Урлаг ба Утга Зохиолын одон шагналтан (командлагч),Италийн Бүгд Найрамдах Улсын Гавьяаны одон шагналтан (их офицер),20-р зууны бизнесмен,21-р зууны бизнесмен,Францын бизнесмен,Kategorie:Franzose,Kategorie:Geboren 1949,Kategorie:Honorary Knight Commander des Order of the British Empire,Kategorie:Investor,Kategorie:LVMH,Kategorie:Mann,Kategorie:Mitglied der Ehrenlegion (Großoffizier),Kategorie:Träger des Ordre des Arts et des Lettres (Komtur),Kategorie:Träger des Verdienstordens der Italienischen Republik (Großoffizier),Kategorie:Unternehmer (20. Jahrhundert),Kategorie:Unternehmer (21. Jahrhundert),Kategorie:Unternehmer (Frankreich)
Валдас Адамкус,Николай Коперник Их Сургуулийн хүндэт доктор,Баруун-Хойд их сургуулийн хүндэт доктор,Ереван Улсын Их Сургуулийн хүндэт доктор,Казахстаны их сургуулийн хүндэт доктор,1926 онд төрсөн,Угаалгын одон шагналтан (өргөмжит хүлэг баатрын их загалмай),Литвачууд,Хүндэт легионы гишүүн (их загалмай),Ромын Клубийн гишүүн,Хүрээлэн буй орчин- ба байгаль орчны хамгаалалтын хүн,20-р зууны улс төрч,21-р зууны улс төрч,Литвын ерөнхийлөгч,Холбооны Германы Гавьяаны Загалмай одон шагналтан (их загалмайн тусгай зэрэглэл),Хризантем одон шагналтан (их загалмай),Гурван Одод одон шагналтан (их загалмай одонгийн гинжтэй),Аврагч одон шагналтан (их загалмай),Шонхрын одон шагналтан (их загалмай),Финландын Цагаан Сарнай одон шагналтан (их загалмай одонгийн гинжтэй),Австрийн Бүгд Найрамдах Улсын төлөөх гавьяаны Их-Од хүндэт тэмдгийн шагналтан,Леопольдын одон шагналтан (их загалмай),Польшийн Дахин төрөлт одон шагналтан (их загалмай),Стара планина одон шагналтан,Цэцэн Ярослав вангийн одон шагналтан (1-р зэрэг),Инфант Дом Энрике гинжит одон шагналтан,Марийн орны гинжит загалмай одон шагналтан,Нидерландын Арслан одон шагналтан (их загалмай),Гэгээн Олафын одон шагналтан (их загалмай),Румыны Од шагналтан (колланэ),Италийн Бүгд Найрамдах Улсын Гавьяаны одон шагналтан (их загалмай одонгийн гинжтэй),Унгар Улсын Гавьяаны одон шагналтан (их загалмай одонгийн гинжтэй),Их Витаутасын одон шагналтан (их загалмай одонгийн гинжтэй),Цагаан Бүргэд одон шагналтан,Украины Эрх чөлөөний одон шагналтан,Америкчууд,Kategorie:Ehrenbürger von Kaunas,Kategorie:Ehrendoktor der Aleksandras-Stulginskis-Universität,Kategorie:Ehrendoktor der Katholischen Universität von Amerika,Kategorie:Ehrendoktor der Mykolas-Romer-Universität,Kategorie:Ehrendoktor der Nikolaus-Kopernikus-Universität Toruń,Kategorie:Ehrendoktor der Northwestern University,Kategorie:Ehrendoktor der Sportuniversität Litauens,Kategorie:Ehrendoktor der Staatlichen Universität Baku,Kategorie:Ehrendoktor der Staatlichen Universität Jerewan,Kategorie:Ehrendoktor der Technischen Universität Kaunas,Kategorie:Ehrendoktor der Universität Klaipėda,Kategorie:Ehrendoktor der Universität Vilnius,Kategorie:Ehrendoktor der Vytautas-Magnus-Universität Kaunas,Kategorie:Ehrendoktor einer Universität in Kasachstan,Kategorie:Geboren 1926,Kategorie:Honorary Knight Grand Cross des Order of the Bath,Kategorie:Litauer,Kategorie:Litauischer Emigrant in den Vereinigten Staaten,Kategorie:Mann,Kategorie:Mitglied der Ehrenlegion (Großkreuz),Kategorie:Mitglied des Club of Rome,Kategorie:Person (Umwelt- und Naturschutz),Kategorie:Politiker (20. Jahrhundert),Kategorie:Politiker (21. Jahrhundert),Kategorie:Präsident (Litauen),Kategorie:Träger des Bundesverdienstkreuzes (Sonderstufe des Großkreuzes),Kategorie:Träger des Chrysanthemenordens (Großkreuz),Kategorie:Träger des Drei-Sterne-Ordens (Großkreuz mit Ordenskette),Kategorie:Träger des Erlöser-Ordens (Großkreuz),Kategorie:Träger des Falkenordens (Großkreuz),Kategorie:Träger des Finnischen Ordens der Weißen Rose (Großkreuz mit Ordenskette),Kategorie:Träger des Groß-Sterns des Ehrenzeichens für Verdienste um die Republik Österreich,Kategorie:Träger des Leopoldsordens (Großkreuz),Kategorie:Träger des Orden de Isabel la Católica,Kategorie:Träger des Ordens Polonia Restituta (Großkreuz),Kategorie:Träger des Ordens Stara Planina,Kategorie:Träger des Ordens des Fürsten Jaroslaw des Weisen (I. Klasse),Kategorie:Träger des Ordens des Infanten Dom Henrique (Collane),Kategorie:Träger des Ordens des Marienland-Kreuzes (Collane),Kategorie:Träger des Ordens des weißen Sterns (Collane),Kategorie:Träger des Ordens vom Niederländischen Löwen (Großkreuz),Kategorie:Träger des Sankt-Olav-Ordens (Großkreuz),Kategorie:Träger des Sterns von Rumänien (Collane),Kategorie:Träger des Verdienstordens der Italienischen Republik (Großkreuz mit Ordenskette),Kategorie:Träger des Verdienstordens der Republik Ungarn (Großkreuz mit Ordenskette),Kategorie:Träger des Vytautas-Magnus-Ordens (Großkreuz mit Ordenskette),Kategorie:Träger des Weißen Adlerordens,Kategorie:Träger des ukrainischen Ordens der Freiheit,Kategorie:UN-Goodwill-Botschafter,Kategorie:US-Amerikaner
Валентин Райчев,Болгарчууд,1958 онд төрсөн,Бөхийн олимпын аварга,Болгарын олимпын оролцогч,Болгарын бөх,1980 оны зуны олимпод оролцогч,Kategorie:Bulgare,Kategorie:Geboren 1958,Kategorie:Mann,Kategorie:Olympiasieger (Ringen),Kategorie:Olympiateilnehmer (Bulgarien),Kategorie:Ringer (Bulgarien),Kategorie:Teilnehmer der Olympischen Sommerspiele 1980
